YEAR,FACILITY_ID,AI_ID,PERMIT_TYPE,FACILITY_NAME,INDUSTRY_TYPE,NAICS_CODE,POLLUTANT,EMISSIONS (TONS),EMISSIONS (LB),COUNTY,ZIP_CODE,LONGITUDE,LATITUDE,-93.228638,
2017,12300622,4480,D,Cardiac Pacemakers Inc/Boston Scientific,Manufacturing,33451,Ammonia,0.14445724,288.91448,Ramsey,55112,-93.156,45.0659,1030.747657,-2217.933438
2017,12300320,4636,D,Cemstone Products - Childs Rd,Manufacturing,327320,Ammonia,0.004682,9.364,Ramsey,55106,-93.0532,44.9432,,
2017,12300001,376,R,St Paul Brass & Aluminum Foundry,Manufacturing,331524,Ammonia,0.0083184,16.6368,Ramsey,55104,-93.1405,44.9626,1250.695737,1178.38913
2017,12300233,748,R,Great Western Dock & Terminal,Other,488320,Ammonia,0,0,Ramsey,55106,-93.051,44.9396,,
2017,12300726,93783,NM,FRA-DOR Inc,Mining,212321,Ammonia,0,0,Ramsey,55117,-93.0938,45.0361,,
2017,12300721,3546,D,Saputo Dairy Foods USA LLC,Manufacturing,311511,Ammonia,0.1792,358.4,Ramsey,55110,-93.0269,45.0636,,
2017,12300436,330,C,Bethel University,Other,611310,Ammonia,0.0201575,40.315,Ramsey,55112,-93.1622,45.0579,,
2017,12300680,4124,D,Brenntag Great Lakes LLC,Other,424690,Ammonia,0.008773,17.546,Ramsey,55108,-93.1907,44.9732,,
2017,12300694,47995,R,3M - Maplewood,Pulp & Paper,322220,Ammonia,2.24633333,4492.66666,Ramsey,55144,-93.00487518,44.95030212,,
2017,12300007,1040,R,Aggregate Industries Inc - Yard A,Mining,212321,Ammonia,0.0009536,1.9072,Ramsey,55106,-93.0476,44.9346,,
2017,12300298,1437,C,St Paul/Ramsey County Public Health,Other,624230,Ammonia,0.00067753,1.35506,Ramsey,55101,-93.0984,44.9507,,
2017,12300288,722,R,Twin City Concrete Products Co - Saint Paul,Manufacturing,327320,Ammonia,0,0,Ramsey,55117,-93.0974,44.9825,,
2017,12300747,41561,D,Abbott - Woodridge CTC,Manufacturing,339112,Ammonia,0.0293115,58.623,Ramsey,55117,-93.0929,45.0088,,
2017,12300022,931,D,University of St Thomas,Other,611310,Ammonia,0.094798,189.596,Ramsey,55105,-93.1897,44.944,,
2017,12300688,978,D,CHS Inc,Other,424910,Ammonia,0,0,Ramsey,55107,-93.0744,44.9446,,
2017,12300055,596,R,Gerdau Ameristeel US Inc - Saint Paul Mill,Manufacturing,331110,Ammonia,0.87276,1745.52,Ramsey,55119,-93.0106,44.8954,,
2017,05300246,3568,D,Happy's Potato Chip Co,Manufacturing,311919,Ammonia,0.0469,93.8,Ramsey,55421,-93.2125,45.0392,,
2017,12300761,133496,R,Univar USA Inc - Saint Paul Facility,Other,424690,Ammonia,0,0,Ramsey,55130,-93.0866,44.9653,,
2017,12300473,4737,C,ISD 623 - Roseville Area Middle School,Other,611110,Ammonia,0.006437,12.874,Ramsey,55117,-93.0997,45.0148,,
2017,12300740,85402,D,Wells Fargo Operations Center,Other,522110,Ammonia,0.03779,75.58,Ramsey,55126,-93.178,45.1224,,
2017,12300049,3941,D,Curtis-Wright Surface Technologies,Manufacturing,332812,Ammonia,0.01464,29.28,Ramsey,55112,-93.189,45.0859,,
2017,12300344,2108,D,GLS Companies - Saint Paul,Manufacturing,323111,Ammonia,0,0,Ramsey,55108,-93.15350337,44.97012492,,
